sell-or-buy,count,page,last_page,total,listing_datetime,unit_price,quantity,results.listings
sell,1000,1,4,3226,2020-05-23 04:38:29 UTC,53089,2524,608
sell,1000,1,4,3226,2020-05-23 03:52:24 UTC,53001,2483,607
sell,1000,1,4,3226,2020-05-23 02:46:02 UTC,52984,2562,616
sell,1000,1,4,3226,2020-05-23 02:04:52 UTC,52598,2463,625
sell,1000,1,4,3226,2020-05-23 01:14:23 UTC,52750,2465,633
sell,1000,1,4,3226,2020-05-23 00:13:14 UTC,51946,2511,619
sell,1000,1,4,3226,2020-05-22 23:25:27 UTC,50000,2498,612
sell,1000,1,4,3226,2020-05-22 22:40:00 UTC,52999,2426,598
sell,1000,1,4,3226,2020-05-22 21:42:49 UTC,54062,2296,570
sell,1000,1,4,3226,2020-05-22 21:04:28 UTC,53500,2413,604
sell,1000,1,4,3226,2020-05-22 20:14:52 UTC,53502,2360,597
sell,1000,1,4,3226,2020-05-22 19:15:40 UTC,53468,2353,588
sell,1000,1,4,3226,2020-05-22 18:27:41 UTC,53498,2350,591
sell,1000,1,4,3226,2020-05-22 17:39:38 UTC,52003,2401,600
sell,1000,1,4,3226,2020-05-22 16:29:58 UTC,53320,2392,595
sell,1000,1,4,3226,2020-05-22 15:48:36 UTC,53300,2383,591
sell,1000,1,4,3226,2020-05-22 14:54:55 UTC,53399,2522,593
sell,1000,1,4,3226,2020-05-22 13:52:13 UTC,53405,2517,591
sell,1000,1,4,3226,2020-05-22 13:07:19 UTC,53408,2474,579
sell,1000,1,4,3226,2020-05-22 12:20:18 UTC,52490,2411,597
sell,1000,1,4,3226,2020-05-22 11:12:22 UTC,52498,2387,589
sell,1000,1,4,3226,2020-05-22 10:33:02 UTC,53497,2336,585
sell,1000,1,4,3226,2020-05-22 09:42:17 UTC,54064,2251,564
sell,1000,1,4,3226,2020-05-22 08:41:57 UTC,55067,2212,558
sell,1000,1,4,3226,2020-05-22 07:52:45 UTC,54512,2237,560
sell,1000,1,4,3226,2020-05-22 07:06:21 UTC,55769,2195,560
sell,1000,1,4,3226,2020-05-22 05:57:56 UTC,55758,2175,554
sell,1000,1,4,3226,2020-05-22 05:17:39 UTC,55763,2151,544
sell,1000,1,4,3226,2020-05-22 04:28:35 UTC,56991,2129,531
sell,1000,1,4,3226,2020-05-22 03:28:08 UTC,56890,2082,531
sell,1000,1,4,3226,2020-05-22 02:39:26 UTC,56496,2114,533
sell,1000,1,4,3226,2020-05-22 01:53:34 UTC,55097,2162,537
sell,1000,1,4,3226,2020-05-22 00:47:26 UTC,56500,2076,522
sell,1000,1,4,3226,2020-05-22 00:08:13 UTC,55212,2096,534
sell,1000,1,4,3226,2020-05-21 23:15:53 UTC,54493,2239,562
sell,1000,1,4,3226,2020-05-21 22:17:17 UTC,53510,2368,586
sell,1000,1,4,3226,2020-05-21 21:27:20 UTC,52372,2487,620
sell,1000,1,4,3226,2020-05-21 20:42:23 UTC,53179,2471,616
sell,1000,1,4,3226,2020-05-21 19:45:26 UTC,53088,2485,614
sell,1000,1,4,3226,2020-05-21 19:05:14 UTC,52589,2481,616
sell,1000,1,4,3226,2020-05-21 18:15:17 UTC,53092,2479,612
sell,1000,1,4,3226,2020-05-21 17:13:06 UTC,53506,2459,591
sell,1000,1,4,3226,2020-05-21 16:24:55 UTC,54470,2352,576
sell,1000,1,4,3226,2020-05-21 15:33:21 UTC,54479,2347,574
sell,1000,1,4,3226,2020-05-21 14:27:04 UTC,53014,2359,575
sell,1000,1,4,3226,2020-05-21 13:48:13 UTC,53499,2413,581
sell,1000,1,4,3226,2020-05-21 12:56:34 UTC,54490,2342,568
sell,1000,1,4,3226,2020-05-21 11:57:16 UTC,54495,2199,554
sell,1000,1,4,3226,2020-05-21 11:13:05 UTC,55456,2182,541
sell,1000,1,4,3226,2020-05-21 10:25:47 UTC,55599,2138,526
sell,1000,1,4,3226,2020-05-21 09:18:14 UTC,54092,2046,507
sell,1000,1,4,3226,2020-05-21 08:37:47 UTC,57437,1990,492
sell,1000,1,4,3226,2020-05-21 07:46:04 UTC,57492,2035,493
sell,1000,1,4,3226,2020-05-21 06:45:33 UTC,56885,1973,504
sell,1000,1,4,3226,2020-05-21 05:58:12 UTC,56964,2030,504
sell,1000,1,4,3226,2020-05-21 05:12:14 UTC,55462,2082,523
sell,1000,1,4,3226,2020-05-21 04:06:55 UTC,56959,2050,511
sell,1000,1,4,3226,2020-05-21 03:25:54 UTC,56898,2072,517
sell,1000,1,4,3226,2020-05-21 02:38:55 UTC,56958,2055,510
sell,1000,1,4,3226,2020-05-21 01:39:49 UTC,56367,2063,502
sell,1000,1,4,3226,2020-05-21 00:50:32 UTC,56268,1972,498
sell,1000,1,4,3226,2020-05-21 00:04:17 UTC,55000,2027,479
sell,1000,1,4,3226,2020-05-20 22:57:19 UTC,56500,1874,464
sell,1000,1,4,3226,2020-05-20 22:18:12 UTC,56984,1924,474
sell,1000,1,4,3226,2020-05-20 21:27:28 UTC,57506,1958,488
sell,1000,1,4,3226,2020-05-20 20:29:52 UTC,57881,1964,476
sell,1000,1,4,3226,2020-05-20 19:39:56 UTC,55048,1942,479
sell,1000,1,4,3226,2020-05-20 18:54:28 UTC,55045,1962,481
sell,1000,1,4,3226,2020-05-20 17:54:48 UTC,55023,1977,476
sell,1000,1,4,3226,2020-05-20 17:15:00 UTC,55049,1931,466
sell,1000,1,4,3226,2020-05-20 16:26:23 UTC,57895,1766,427
sell,1000,1,4,3226,2020-05-20 15:25:04 UTC,57988,1704,427
sell,1000,1,4,3226,2020-05-20 14:37:50 UTC,60218,1562,392
sell,1000,1,4,3226,2020-05-20 13:54:08 UTC,59745,1711,451
